prov_id,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019,pop2020
504,92435.997,93073.314,93482.73,94117.557,95202.209,95777.022,96425.318,97283.748,97962.916,98946.347,99915.263,100865.668,101689.45,102461.542,103051.157,104286.59,105306.906,106391.13500000001,107431.446,108487.545
505,39416.08,39603.17,40022.455,40353.319,40515.471,40841.498999999996,41105.894,41440.026,41872.254,41998.782999999996,42312.576,42724.066,43017.863,43340.818,43536.647,43794.033,44230.957,44519.722,44801.862,45111.991
506,33920.824,34581.722,35301.799,35875.326,36299.219,36965.838,37685.221,38231.426,38921.106,39655.804000000004,40248.717,40815.276,41680.731,42450.1216,43092.1154,44025.1132,44652.2303,45499.1676,46357.196599999996,47224.7537
507,28003.4839,28108.4332,28217.8047,28353.392200000002,28344.9596,28406.5252,28513.105000000003,28563.1059,28761.582000000002,28836.4337,28902.23,29008.3416,28997.3954,29130.9844,29243.469299999997,29147.436799999996,29285.308100000002,29322.5952,29394.709499999997,29510.0494
508,48635.43,49247.58,49819.43,50615.997,51615.945,52325.382999999994,53025.521,53878.75,54671.53,55469.706,56364.295,57328.221000000005,58139.502,58923.41,59971.473,60645.665,61717.554000000004,62581.128000000004,63536.037,64511.199
509,10427.20935,10737.14525,11157.000380000001,11446.731,11719.10821,12027.750329999999,12495.4818,12822.1913,13148.947699999999,13563.3625,13857.182,14056.9627,14551.9838,15127.3727,15572.3869,15885.2671,16229.296199999999,16685.8114,17162.9566,17622.8232
510,4879.738960000001,5035.27608,5173.7202,5307.93929,5488.880209999999,5647.21845,5819.88154,5991.43598,6160.308,6341.9257,6549.4649,6772.390600000001,6968.4954,7187.87,7419.512,7638.3327,7879.1281,8136.7905,8388.7624,8642.1804
511,51638.88500000001,51464.136,51379.709,51203.994000000006,51031.607,51072.355,50974.354,50862.797999999995,50590.668,50371.486000000004,50267.399,50264.652,50059.925,49962.55,49771.752,49839.166000000005,49866.727,49741.133,49683.068999999996,49691.990000000005
512,37134.9905,38429.2374,39760.066999999995,41184.331099999996,42583.922999999995,44137.4504,45679.9845,47303.2605,49095.0272,50905.7646,52760.36,54725.441,56728.965,58843.995,61101.738,63452.414,65868.584,68434.898,71055.24799999999,73814.317
513,10733.2413,10710.777900000001,10657.4043,10643.868600000002,10580.902900000001,10585.5356,10555.8623,10510.7124,10454.439,10458.7006,10420.023000000001,10354.5136,10366.9107,10341.6152,10347.0664,10379.9917,10311.5205,10305.3848,10298.551500000001,10291.2026
514,4687.2323,4749.5401999999995,4813.2931,4877.7148,4937.7963,5005.9624,5090.4902,5168.3734,5252.9929,5344.7654999999995,5438.6862,5534.4577,5642.9884999999995,5756.5166,5861.9533,6019.0717,6137.9741,6287.0442,6433.4828,6577.0597
515,38088.926,38479.543,39431.391,39959.406,40932.281,41731.281,43030.605,43217.203,43589.5,44538.418,45351.293,46215.633,47120.238,47864.281,48867.887,49876.504,50735.902,51944.367,52912.383,53974.418
516,2276.2979,2271.8145,2182.7576,2184.1243,2273.4172,2249.3237,2157.8669,2206.4043,2211.9685,2118.0679,2266.3147,2432.9031,2324.3223,2199.3159,2126.7141,2297.0696,2455.9766,2448.5063,2469.4182,2481.834
601,150523.25,154990.0,159087.88,163457.67,167385.06,171906.67,176612.63,181576.5,186770.28,191555.56,196900.55,201887.13,207650.75,213368.8,219105.09,224930.45,230727.58,236854.83,243233.19,249771.23
602,52778.796,52963.270000000004,53426.148,53244.023,52947.42999999999,53347.883,53396.476,53816.770000000004,53893.244000000006,53422.695999999996,53501.379,53560.985,53700.872,53974.614,53982.343,54141.075,54142.854,54210.754,54299.062,54497.859000000004
603,121977.652,124436.00400000002,127003.5837,129595.175,133000.1,136980.737,140090.95799999998,143696.287,146089.62999999998,148651.52599999998,151905.117,158585.687,162459.58,164660.696,167446.424,171712.667,175493.263,180330.299,184889.511,189266.813
604,18412.5893,18554.2419,18807.4583,18984.986,19438.1694,19540.6172,19761.004100000002,20008.257,20253.4365,20480.652,20865.6623,21364.1016,21560.3367,21790.6649,22049.4712,22385.1223,22803.061,23121.0916,23437.3275,23773.571600000003
605,36441.565,36765.356,37512.312999999995,38290.869,39496.682,40552.365999999995,41406.135,42218.138999999996,43013.08,43905.221000000005,43385.481,45584.452999999994,45680.58,47016.134999999995,47648.197,49124.892,50367.442,51825.113,53157.58,54486.127
606,20640.578,20804.604,21036.949,21508.416,21751.439,22051.299,22149.584,22531.121,22821.035,23381.734,23673.762,24351.43,24989.902,25633.105,26431.039,26256.369,26595.055,27086.578,27607.988,28003.527
701,1247935.9070000001,1278671.837,1312895.514,1345597.577,1376665.016,1414399.5240000002,1449970.7200000002,1486293.3290000001,1525694.48,1567315.682,1603567.6269999999,1648175.168,1693615.5760000001,1736535.1970000002,1782738.893,1829358.671,1877078.726,1928149.0350000001,1980086.388,2034894.352
